"filename", "language", "Python", "comment", "blank", "total"
"d:\Arquivos\UFSM\App NF\API\config.py", "Python", 14, 0, 6, 20
"d:\Arquivos\UFSM\App NF\API\controller.py", "Python", 15, 3, 6, 24
"d:\Arquivos\UFSM\App NF\API\data.py", "Python", 143, 19, 28, 190
"d:\Arquivos\UFSM\App NF\API\models\NF.py", "Python", 437, 16, 41, 494
"d:\Arquivos\UFSM\App NF\API\services\Flask_service.py", "Python", 27, 0, 10, 37
"d:\Arquivos\UFSM\App NF\API\services\database.py", "Python", 88, 0, 26, 114
"Total", "-", 724, 38, 117, 879
